GEOID,NAME,District,County,Enrollment,prcnt_enrolled_lunch,Count_providers_253min_mean,Count_providers_253min_median,Count_providers_253min_majority,Lunch_Class,Prov_Class,Bi_Class,Color
2801090,Clinton Public School District,Clinton Public School District,Hinds County,5306,50,3.311495674,3,2,1,B,B1,BAE08A
2801860,Hinds County School District,Hinds County School District,Hinds County,5578,79,2.540525739,2,2,2,C,C2,F3B8DE
2801110,Coahoma County School District,Coahoma County School District,Coahoma County,1173,100,2.063590539,2,2,3,C,C3,D23C8B
2801320,DeSoto County School District,DeSoto County School District ,DeSoto County,34752,54,3.408650261,3,4,1,B,B1,BAE08A
2802250,Jefferson Davis County School District,Jefferson Davis County School District,Jefferson Davis County,1362,100,2.424242424,2,2,3,C,C3,D23C8B
2801170,Columbia School District,Columbia School District,Marion County,1651,77,2.302120141,2,2,2,C,C2,F3B8DE
2801200,Columbus Municipal School District,Columbus Municipal School District,Lowndes County,3452,100,3.13490099,3,3,3,B,B3,AE4072
2802730,Lowndes County School District,Lowndes County School District,Lowndes County,5528,59,2.306730197,2,2,1,C,C1,F7F7F7
2804050,South Panola School District,South Panola School District,Panola County,4337,80,2.621167883,2,2,2,C,C2,F3B8DE
2801220,Copiah County School District,Copiah County School Distrcit,Copiah County,2462,100,2.333333333,2,2,3,C,C3,D23C8B
2801290,Covington County School District,Convington County School District,Covington County,2724,84,2.171806167,2,2,2,C,C2,F3B8DE
2801380,East Jasper School District,East Jasper School District,Jasper County,847,99,2.317365269,2,2,3,C,C3,D23C8B
2801410,East Tallahatchie School District,East Tallahatchie Consolidated School District,Tallahatchie County,1010,89,2.143198091,2,2,3,C,C3,D23C8B
2801440,Enterprise School District,Enterprise School District,Clarke County,937,51,2.279826464,2,2,1,C,C1,F7F7F7
2803780,Quitman School District,Quitman School District,Clarke County,1744,87,2.29312763,2,2,3,C,C3,D23C8B
2801470,Forest Municipal School District,Forest Municipal School District,Scott County,1747,99,2.83539823,2,2,3,C,C3,D23C8B
2801490,Forrest County Schools,Forrest County School District,Forrest County,2226,81,2.564570331,2,2,2,C,C2,F3B8DE
2803530,Petal School District,Petal School District,Forrest County,4169,61,3.216257669,3,3,1,B,B1,BAE08A
2801530,Franklin County School District,Franklin County School District,Franklin County,1289,78,2.252606255,2,2,2,C,C2,F3B8DE
2801560,George County School District,George County School District,George County,4152,70,2.638247484,2,2,2,C,C2,F3B8DE
2801800,Hattiesburg Public School District,Hattiesburg Public School District,Forrest County,3852,100,4.55243821,5,5,3,A,A3,8D6158
2801590,Greene County School District,Greene County School District,Greene County,1755,75,2.08127634,2,2,2,C,C2,F3B8DE
2801620,Greenville Public School District,Greenville Public Schools,Washington County,4244,100,3.311649017,3,3,3,B,B3,AE4072
2804350,Union County School District,Union County School District,Union County,2931,62,2.403470716,2,2,1,C,C1,F7F7F7
2804530,Wayne County School District,Wayne County School District,Wayne County,3340,100,2.344309648,2,2,3,C,C3,D23C8B
2801650,Greenwood Public School District,Greenwood Leflore Consolidated School District,Leflore County,4717,100,3.336458333,3,3,3,B,B3,AE4072
2801680,Grenada School District,Grenada School District,Grenada County ,4012,73,2.558974359,2,2,2,C,C2,F3B8DE
2801710,Gulfport School District,Gulfport School District,Harrison County,6576,74,3.780673872,4,5,2,A,A2,698844
2802670,Long Beach School District,Long Beach School District,Harrison County,3115,54,3.858247423,4,4,1,A,A1,4FAB2A
2801770,Harrison County School District,Harrison County School District,Harrison County,14780,74,3.545644599,3,3,2,B,B2,A78981
2801830,Hazlehurst City School District,Hazlehurst City School District,Copiah County,1502,100,2.202736318,2,2,3,C,C3,D23C8B
2801890,Hollandale School District,Hollandale School District,Washington County,570,100,2.220183486,2,2,3,C,C3,D23C8B
2802610,Leland School District,Leland School District ,Washington County,785,100,2.378401361,2,2,3,C,C3,D23C8B
2804680,Western Line School District,Western Line School District,Washington County,1928,99,2.364946889,2,2,3,C,C3,D23C8B
2801950,Holly Springs School District,Holly Springs School District,Marshall County,1184,97,2.623214286,2,2,3,C,C3,D23C8B
2802010,Houston School District,Houston School District,Chickasaw County,1764,80,2.542319749,2,2,2,C,C2,F3B8DE
2802040,Humphreys County School District,Humphreys County School District,Humphreys County,1486,100,2.065897858,2,2,3,C,C3,D23C8B
